gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
4265,4265,57F11/164/SS/12,77.675926,14.457207,63.187,16.43,4.95,0.06,1.03,2.65,2.38,3.01,0.84,0.1,4.75906,826.8,16,11.6,94.1,23,14.8,20.9,9,90.2,541.1,18.7,959.3,10.7,67.4,22.6,30.5,1.5,11,5,1.21,0.1,0.05,0.14,20,1.386,1.062,2.5,2.5,31.202,66.666,7.436,27.679001,5.507,1.425,0.659,4.476,3.836,0.723,2.245,0.343,2.47,0.446,27.702,0.792,2.5,3.6,0,0,57F11,0,0,0,0,7,50
4266,4266,57F11/165/SS/12,77.694444,14.457207,64.089,16.04,4.08,0.05,1.35,1.86,1.86,3.22,0.88,0.14,5.782652,807.1,12.5,10.7,81.6,25.6,12,20.1,8.4,107.9,333.3,24.4,896.8,11.5,63.3,20.1,35.3,1.5,13,5,1.61,0.1,0.05,0.12,30,0.947,0.41,2.5,2.5,16.256001,35.148998,3.825,14.319,2.805,0.693,0.363,2.3,2.145,0.408,1.309,0.224,1.59,0.288,18.559,0.531,2.5,2.972,0,0,57F11,0,0,0,0,6,124
4267,4267,57F11/166/SS/12,77.712963,14.457207,64.304,13.97,4.08,0.06,1.59,2.84,1.62,2.8,0.68,0.18,7.166318,847.8,11.2,12.2,75.5,21,11.2,23.1,10.3,87.7,346.9,20.1,984.7,9.4,63.5,22.3,36.9,1.5,13,5,1.72,0.1,0.05,0.05,63,1.227,0.911,2.5,2.5,25.219999,58.535999,6.19,22.530001,4.561,1.21,0.581,3.848,3.49,0.649,2.041,0.331,2.373,0.421,24.903999,0.909,2.5,4.477,0,0,57F11,0,0,0,0,9,50
4268,4268,57F11/167/SS/12,77.731481,14.457207,59.2082,15.31,5.39,0.06,2.06,4.37,2.01,2.53,0.73,0.2,7.542846,707.2,13.2,14.1,103.8,18.9,13.4,30.9,17.2,84.5,374.5,21,838.1,11,71.6,44.7,44.3,1.5,14,5,2.25,0.1,0.14,0.1,71,1.837,1.087,2.5,2.5,32.049,71.412003,7.962,30.356001,5.923,1.451,0.761,5.03,4.367,0.817,2.434,0.367,2.69,0.484,25.599001,0.97,2.5,4.892,0,0,57F11,0,0,0,0,18,50
4269,4269,57F11/168/SS/12,77.749999,14.457207,66.04,12.84,3.68,0.05,1.62,4.08,2.4,2.58,0.58,0.14,5.304243,802.8,13.2,11.4,71.9,10.7,18.8,20.6,9.8,83.6,371.3,19.2,655.3,10.4,56.8,17.9,36.7,1.5,12,5,1.2,0.1,0.14,0.05,30,1.651,0.855,2.5,2.5,23.768999,48.279999,5.746,21.542999,4.235,1.15,0.549,3.554,3.25,0.638,2.069,0.327,2.337,0.39,21.801001,0.774,2.5,3.113,0,0,57F11,0,0,0,0,5,50
4270,4270,57F11/169/SS/12,77.509259,14.475225,63.2847,15.92,4.46,0.05,1.31,3.3,2.03,1.94,0.77,0.08,6.314317,619.2,14.1,12.2,80,12.2,14.4,16.8,9.2,47.8,235.8,20.4,534.9,7.2,58.5,16.8,28.8,1.5,10,15,1.48,0.1,0.05,0.05,10,0.950563,1.002492,2.5,2.5,23.374549,47.74489,5.240883,19.909758,3.891354,1.293787,0.556211,3.516502,3.268173,0.605993,1.905975,0.32058,2.025707,0.365666,20.338613,0.650814,2.5,1.571292,0,0,57F11,0,0,0,0,5,50
4271,4271,57F11/170/SS/12,77.527778,14.475225,67.43,13.91,3.76,0.06,1.15,2.96,2.22,2.45,0.66,0.08,4.62,750,17,15,91,13,9,19,7,59,278,17,684,6,72,13,28,10,19,5,14,0.1,0.05,0.1,20,0.332353,1.295058,2.5,2.5,24.857095,49.581108,5.735332,23.612809,4.403999,1.320439,0.659769,4.075489,3.399056,0.734424,1.897106,0.338596,2.703342,0.454078,20.782442,0.753168,2.5,2.96445,0,0,57F11,0,0,0,0,5,50
4272,4272,57F11/171/SS/12,77.546296,14.475225,61.85,14.8,3.95,0.07,2.32,3.72,2.07,2.52,0.5,0.08,7.34,647,20,14,76,15,13,64,13,82,236,14,420,8,192,18,42,1.5,10,5,12,0.1,0.13,0.1,26,1.795274,0.872032,2.5,2.5,25.82394,50.654842,5.513922,23.37259,4.060855,1.247391,0.652133,3.496698,3.307906,0.494656,1.808864,0.291155,1.877635,0.320285,15.77719,1.036114,2.5,2.573128,0,0,57F11,0,0,0,0,7,50
4273,4273,57F11/172/SS/12,77.564815,14.475225,59.43,16.21,4.7,0.06,1.54,3.44,1.78,2.32,0.58,0.12,9.22,642,19,16,90,12,14,35,10,68,276,15,385,7,83,21,42,1.5,9,5,12,0.1,0.12,0.2,27,1.515306,0.937263,2.5,2.5,26.807962,48.92648,5.281179,19.603313,3.62879,1.033126,0.58717,3.057316,3.266303,0.595084,1.889463,0.286723,2.150586,0.312559,13.097977,0.817922,2.5,2.55472,0,0,57F11,0,0,0,0,5,50
4274,4274,57F11/173/SS/12,77.583333,14.475225,59.582,15.491,5.62,0.07,2.28,4.25,1.72,2.19,0.72,0.15,7.399641,631.5,12.9,14.3,98.4,7.6,17.4,60.3,16.3,60.3,273.6,15.6,332.6,7.1,162.1,30.9,46,1.5,17,5,1.28,0.1,0.05,0.18,26,1.161506,1.240881,2.5,2.5,25.297705,47.260676,5.668924,21.611456,4.289451,1.31037,0.633164,3.973549,3.798714,0.700388,2.17695,0.33246,2.189266,0.372981,13.551923,0.697105,2.5,2.25143,0,0,57F11,0,0,0,0,7,50
4275,4275,57F11/174/SS/12,77.601852,14.475225,65.047,15.64,4.53,0.06,1.11,2.56,2.46,2.81,0.78,0.11,4.330905,760.7,14.3,12,80,7.9,17.1,22.6,9.7,71.2,231.5,17.8,449,8.1,53.5,21.9,30.6,1.5,9,5,1.04,0.1,0.05,0.15,10,0.893226,1.08309,2.5,2.5,19.253527,39.04,4.669892,18.007982,4.131848,1.343146,0.692749,4.092996,4.408169,0.914336,2.63959,0.450565,2.912172,0.478701,19.362181,0.755226,2.5,2.779871,0,0,57F11,0,0,0,0,5,50
4276,4276,57F11/175/SS/12,77.62037,14.475225,57.365,16.319,7.44,0.09,2.17,4.63,1.66,1.64,0.79,0.24,7.083707,541,13.6,18.6,129.7,7.2,11.2,52.5,20.3,49.6,330.5,18.1,480.8,7.3,89.2,49.9,39.5,1.5,11,5,1.43,0.1,0.12,0.2,24,1.151205,1.146066,2.5,2.5,34.731764,72.869171,8.529525,33.260493,6.092927,1.765806,0.777378,5.234622,4.756964,0.924761,2.695029,0.419363,2.801191,0.443909,20.095073,0.609943,2.5,1.9947,0,0,57F11,0,0,0,0,7,50
4277,4277,57F11/176/SS/12,77.638889,14.475225,62.98024,16.364,5.35,0.06,1.06,2.71,1.86,2.67,0.69,0.12,5.41,808.5,14.1,12.5,92.8,29.4,10.8,25.9,12.1,72.3,423.8,17.4,953.6,8.7,66.3,23.8,28.8,1.5,10,5,1.57,0.1,0.05,0.22,10,1.16993,1.077672,2.5,2.5,34.379261,70.547067,8.409083,33.358259,5.970207,1.685669,0.722077,4.9061,4.012099,0.819259,2.365463,0.392791,2.710736,0.485521,38.014689,0.593257,2.5,3.596651,0,0,57F11,0,0,0,0,7,50
4306,4306,57F07/196/SS/12,77.5,14.493242,64.641,15.37,4.35,0.05,1.47,2.94,1.98,2.1,0.61,0.1,5.799279,549.7,11.8,13.8,68.7,13,16,22.7,10.1,63.9,215.8,25.6,683.9,7.5,54.7,26.6,31,8,12,5,3.39,0.05,0.27,0.1,10,1.432842,1.03337,2.5,2.5,19.011685,43.90399,4.979508,19.036242,4.077402,1.237416,0.692262,4.212952,4.51055,0.894664,2.730649,0.465738,3.022192,0.533357,23.752866,0.587458,2.5,4.248391,0,0,57F07,0,0,0,0,5,50
4774,4774,57F07/028/SS/12,77.5,14.277027,67.67,14.14,3.42,0.05,1.29,1.8,2.67,2.99,0.43,0.07,4.816173,667.6,14.1,8.9,58.3,11,20.6,45.9,11.3,112.7,194.1,18.6,299.9,11.3,369.5,16.5,32.1,1.5,8,5,9.48,0.5,0.23,0.05,10,1.7568,1.001,2.5,2.5,23.482,45.036999,4.897,18.934999,3.731,0.856,0.621,3.474,3.654,0.817,2.452,0.418,2.669,0.435,12.326,1.009,2.5,3.255,0,0,57F07,0,0,0,0,2.5,50
4788,4788,57F07/042/SS/12,77.5,14.295045,66.98,12.88,4.86,0.06,1.28,1.91,1.87,3.07,0.45,0.07,5.815201,497.6,16.9,9.7,67,14.8,7.8,40.5,13.3,110.6,130.7,18.9,291.5,14.7,339.8,22.6,33.6,1.5,14,5,15.66,1,0.45,0.2,10,1.099,1.276,2.5,2.5,27.292999,50.585999,5.694,21.190001,4.316,0.903,0.599,3.741,3.402,0.711,2.162,0.363,2.251,0.352,11.946,1.663,2.5,4.438,0,0,57F07,0,0,0,0,5,50
4970,4970,57F07/014/SS/12,77.5,14.259009,66.624,15.01,3.29,0.07,0.98,1.27,3.1,3.46,0.43,0.07,5.080055,689.6,18.6,9,50.9,12.6,23.3,21.2,9,149.9,195.5,22,264,16.2,53.4,29.6,31.1,1.5,8,5,50,0.25,0.32,0.15,10,2.5164,1.13,2.5,2.5,22.857,44.471001,5.169,19.51,4.015,0.872,0.686,3.931,4.27,0.939,2.921,0.516,3.423,0.54,9.46,1.612,2.5,3.479,0,0,57F07,0,0,0,0,2.5,50
5059,5059,57F07/056/SS/12,77.5,14.313063,62.05,14.09,5.3,0.09,1.72,2.64,2.09,2.65,0.73,0.15,7.880015,577.7,15.3,13.2,89.9,13.7,19.1,42.2,17.3,99.6,230.1,22.3,397.8,16.4,100.6,36.3,54,23,16,5,19.5,1.1,0.27,0.22,10,2.087,1.264,2.5,2.5,44.484001,84.077003,9.826,36.571999,7.121,1.53,0.955,6.23,5.296,1.06,3.276,0.562,3.336,0.546,16.966999,1.762,2.5,5.554,0,0,57F07,0,0,0,0,8,50
5073,5073,57F07/070/SS/12,77.5,14.331081,64.03,12.09,2.74,0.05,2.66,5.45,2.74,2.55,0.47,0.08,6.60227,709,11.5,12.1,56.3,19.6,13.3,13.8,7.1,79.2,381.9,20.4,611.8,12.6,57.1,13.3,31.5,1.5,9,5,5.66,0.35,0.1,0.05,10,1.125,0.989,2.5,2.5,34.123001,68.934998,7.225,27.091999,5.324,1.149,0.747,4.838,4.182,0.854,2.592,0.453,2.905,0.509,25.667,0.895,2.5,4.153,0,0,57F07,0,0,0,0,2.5,50
