gid,objectid,observed_m,igrf_nt,magnetic_a,longitude_,latitude_r,toposheet
317526,317526,41639.13168,41587.4576,51.67408304,77.71028,14.34117,57F/11
317527,317527,41642.13164,41589.91937,52.21227339,77.58747,14.38867,57F/11
317528,317528,41673.1323,41618.54337,54.58893081,77.56258,14.48981,57F/11
317529,317529,41632.13141,41576.836,55.29540747,77.68631,14.31389,57F/11
317530,317530,41662.13204,41606.76669,55.36535094,77.58944,14.44303,57F/11
317531,317531,41668.1322,41612.30805,55.82414995,77.61522,14.45286,57F/11
317532,317532,41659.13203,41602.68588,56.44615169,77.70331,14.39339,57F/11
317533,317533,41619.131,41562.45231,56.67868989,77.59103,14.29722,57F/11
317534,317534,41626.13125,41568.73501,57.39624036,77.72939,14.27317,57F/11
317535,317535,41620.13102,41562.33963,57.79138986,77.62758,14.285,57F/11
317536,317536,41643.13143,41583.69624,59.43519589,77.50483,14.39481,57F/11
317537,317537,41672.13218,41612.66608,59.46609982,77.57989,14.46525,57F/11
317538,317538,41620.13098,41560.0531,60.07788118,77.65117,14.26978,57F/11
317539,317539,41650.13168,41588.26864,61.8630335,77.6815,14.35308,57F/11
317540,317540,41627.13108,41564.93509,62.19599457,77.62689,14.29381,57F/11
317541,317541,41617.1307,41552.44337,64.68732842,77.51003,14.29044,57F/11
317542,317542,41624.13096,41559.42451,64.70645567,77.64133,14.27089,57F/11
317543,317543,41675.13216,41610.29042,64.8417331,77.62864,14.44203,57F/11
317544,317544,41617.13065,41548.53769,68.59296027,77.56561,14.25944,57F/11
317545,317545,41654.13165,41584.90125,69.23039137,77.74703,14.32092,57F/11
317546,317546,41685.13234,41614.56994,70.56239339,77.73247,14.42294,57F/11
317547,317547,41705.1328,41634.42434,70.70846832,77.72689,14.48933,57F/11
317548,317548,41666.13181,41595.26378,70.8680334,77.63975,14.38942,57F/11
317549,317549,41675.13193,41603.66711,71.46482286,77.53569,14.45006,57F/11
317550,317550,41668.13175,41596.29896,71.83278841,77.52633,14.42906,57F/11
317551,317551,41669.13188,41597.03702,72.09485959,77.68019,14.38228,57F/11
317552,317552,41683.13213,41610.37523,72.75689896,77.59064,14.45439,57F/11
317553,317553,41663.13176,41589.96288,73.16888767,77.74414,14.33853,57F/11
317554,317554,41682.13213,41608.70373,73.42840189,77.64303,14.43228,57F/11
317555,317555,41642.13114,41568.42465,73.70648711,77.58822,14.31783,57F/11
317556,317556,41686.13213,41612.07292,74.05921384,77.54014,14.47594,57F/11
317557,317557,41645.13121,41570.9942,74.13701217,77.60678,14.32031,57F/11
317558,317558,41637.13106,41562.25493,74.87613595,77.68656,14.26558,57F/11
317559,317559,41666.13169,41590.14739,75.9842981,77.64083,14.37231,57F/11
317560,317560,41661.13152,41584.11007,77.02144161,77.59914,14.36589,57F/11
317561,317561,41649.13126,41571.79878,77.33248433,77.65247,14.30819,57F/11
317562,317562,41699.13248,41620.31903,78.81344371,77.73625,14.4405,57F/11
317563,317563,41687.13214,41608.19,78.94214654,77.67247,14.42122,57F/11
317564,317564,41699.13243,41617.9354,81.19702487,77.74492,14.42997,57F/11
317565,317565,41705.13252,41622.83972,82.29279112,77.70819,14.45761,57F/11
317566,317566,41703.13233,41618.35504,84.7772962,77.60589,14.47547,57F/11
317567,317567,41679.13179,41593.7653,85.36648631,77.65539,14.3795,57F/11
317568,317568,41687.13197,41601.32871,85.80325619,77.6595,14.40294,57F/11
317569,317569,41709.13242,41623.05557,86.07685668,77.57944,14.49908,57F/11
317570,317570,41679.13163,41591.27795,87.85368448,77.52794,14.41217,57F/11
317571,317571,41704.13232,41615.95294,88.17937893,77.66864,14.44775,57F/11
317572,317572,41688.1319,41599.74838,88.38351783,77.61342,14.4125,57F/11
317573,317573,41669.13128,41577.01255,92.11872906,77.50644,14.37242,57F/11
317574,317574,41695.13204,41602.70597,92.42607026,77.71064,14.39111,57F/11
317575,317575,41715.1325,41622.47478,92.65771357,77.69297,14.46125,57F/11
317576,317576,41710.13229,41616.8481,93.28418783,77.59178,14.47506,57F/11
317577,317577,41709.13218,41614.2103,94.92188055,77.53239,14.48533,57F/11
317578,317578,41721.13253,41626.08931,95.04321933,77.62158,14.49558,57F/11
317579,317579,41655.13091,41558.89075,96.2401545,77.58583,14.28714,57F/11
317580,317580,41723.13263,41626.41007,96.72256111,77.74336,14.45808,57F/11
317581,317581,41714.13224,41616.8512,97.28104438,77.53353,14.49353,57F/11
317582,317582,41685.13162,41587.38781,97.74381655,77.64067,14.36331,57F/11
317583,317583,41654.13075,41554.87177,99.25898053,77.50811,14.29908,57F/11
317584,317584,41697.13175,41597.29164,99.84011753,77.50278,14.43981,57F/11
317585,317585,41691.13168,41588.98712,102.1445589,77.66861,14.35958,57F/11
317586,317586,41702.13196,41599.7318,102.4001578,77.69919,14.38503,57F/11
317587,317587,41709.13202,41606.42572,102.7063036,77.57208,14.44744,57F/11
317588,317588,41667.13109,41562.99069,104.1403972,77.69569,14.26506,57F/11
317589,317589,41706.13184,41601.07854,105.0533058,77.50264,14.45217,57F/11
317590,317590,41692.13154,41586.99174,105.1398008,77.53939,14.3945,57F/11
317591,317591,41680.13139,41574.97006,105.1613262,77.72089,14.29656,57F/11
317592,317592,41709.13201,41602.43912,106.6928845,77.67669,14.40108,57F/11
317593,317593,41699.13174,41591.7846,107.3471383,77.65342,14.37364,57F/11
317594,317594,41731.13249,41623.58423,107.5482543,77.64631,14.47964,57F/11
317595,317595,41690.13154,41582.52829,107.6032523,77.68428,14.33331,57F/11
317596,317596,41723.13222,41612.83095,110.3012727,77.62792,14.45053,57F/11
317597,317597,41682.13124,41571.65829,110.472947,77.62439,14.31681,57F/11
317598,317598,41718.13218,41607.20814,110.9240362,77.74767,14.39403,57F/11
317599,317599,41718.13199,41606.90856,111.2234272,77.51292,14.46783,57F/11
317600,317600,41737.13258,41624.61746,112.5151206,77.73328,14.45544,57F/11
317601,317601,41730.13226,41616.24803,113.88423,77.57197,14.47939,57F/11
317602,317602,41710.13182,41594.14087,115.9909502,77.68922,14.36989,57F/11
317603,317603,41672.13079,41554.95997,117.1708151,77.55111,14.28542,57F/11
317604,317604,41729.13221,41609.41887,119.7133419,77.72672,14.40794,57F/11
317605,317605,41685.13104,41564.03703,121.0940114,77.60367,14.29836,57F/11
317606,317606,41723.13197,41601.66537,121.4666016,77.65094,14.40678,57F/11
317607,317607,41729.13199,41605.46951,123.6624888,77.56283,14.44728,57F/11
317608,317608,41757.13276,41633.44988,123.6828744,77.6955,14.49608,57F/11
317609,317609,41719.13186,41595.12615,124.0057076,77.70789,14.36714,57F/11
317610,317610,41728.13194,41604.11911,124.0128295,77.52783,14.45403,57F/11
317611,317611,41668.13051,41543.96863,124.1618763,77.52264,14.25831,57F/11
317612,317612,41727.13197,41602.40701,124.7249673,77.63208,14.41522,57F/11
317613,317613,41709.13151,41582.96549,126.166021,77.62936,14.35242,57F/11
317614,317614,41694.1312,41567.25637,126.8748301,77.71136,14.27411,57F/11
317615,317615,41699.13125,41571.79629,127.3349616,77.63147,14.31497,57F/11
317616,317616,41752.13254,41623.71831,128.4142336,77.71686,14.45772,57F/11
317617,317617,41734.13192,41604.33454,129.7973823,77.50175,14.46303,57F/11
317618,317618,41716.13157,41585.74456,130.3870117,77.61817,14.36514,57F/11
317619,317619,41709.13148,41578.47507,130.6564071,77.72906,14.3055,57F/11
317620,317620,41760.13265,41629.26288,130.8697663,77.68453,14.48597,57F/11
317621,317621,41732.13195,41601.19658,130.9353773,77.64197,14.40811,57F/11
317622,317622,41708.13144,41577.08328,131.0481579,77.72067,14.30361,57F/11
317623,317623,41688.13088,41557.02227,131.1086151,77.60889,14.27347,57F/11
317624,317624,41750.13231,41614.04259,136.0897175,77.71222,14.42767,57F/11
317625,317625,41735.13183,41597.83446,137.2973791,77.59142,14.41328,57F/11
317626,317626,41751.13224,41612.20822,138.9240228,77.67814,14.43253,57F/11
317627,317627,41768.1327,41629.19673,138.93597,77.74611,14.46628,57F/11
317628,317628,41706.13106,41566.39834,139.7327257,77.557,14.32125,57F/11
317629,317629,41737.13189,41596.92048,140.2114061,77.69375,14.37756,57F/11
317630,317630,41707.13103,41565.33459,141.7964436,77.54719,14.32092,57F/11
317631,317631,41742.13184,41599.15674,142.9750932,77.55072,14.43058,57F/11
317632,317632,41715.13132,41571.93635,143.1949652,77.72061,14.28661,57F/11
317633,317633,41697.13067,41550.8442,146.2864699,77.52744,14.2795,57F/11
